node_id,timestamp_ms,conductividad,temp_agua,temp_ambiente,humedad,nivel_agua_cm,alerta,tipo_emergencia
nodo_chancay_01,1920000,359.8,15.8,16.7,78.1,120.4,false,0
nodo_chancay_01,1980000,344.1,15.8,16.9,74.2,115.2,false,0
nodo_chancay_01,2040000,372.3,15.6,16.1,75.7,121.6,false,0
nodo_chancay_01,2100000,341.7,15.3,16.6,68.3,122.8,false,0
nodo_chancay_01,2160000,363.1,15.4,16.6,75.7,124.9,false,0
nodo_chancay_01,2220000,330.6,15.2,16.6,71.9,112.9,false,0
nodo_chancay_01,2280000,340.1,15.2,16.3,73.9,121.6,false,0
nodo_chancay_01,2340000,363.0,15.5,16.7,70.3,114.8,false,0
nodo_chancay_01,2400000,371.1,15.3,16.5,72.4,121.2,false,0
nodo_chancay_01,2460000,362.6,15.8,16.1,74.5,118.3,false,0
nodo_chancay_01,2520000,358.3,15.7,16.1,74.2,121.5,false,0
nodo_chancay_01,2580000,355.5,15.6,17.2,77.7,121.3,false,0
nodo_chancay_01,2640000,337.8,15.4,16.6,69.4,120.2,false,0
nodo_chancay_01,2700000,349.2,15.3,16.4,74.8,118.6,false,0
nodo_chancay_01,2760000,353.1,15.8,16.1,74.7,120.5,false,0
nodo_chancay_01,2820000,375.9,15.6,16.1,73.6,122.8,false,0
nodo_chancay_01,2880000,365.2,15.6,16.3,72.3,120.8,false,0
nodo_chancay_01,2940000,333.6,15.8,15.9,78.3,122.4,false,0
nodo_chancay_01,3000000,364.9,15.5,15.6,81.1,115.8,false,0
nodo_chancay_01,3060000,354.2,15.5,16.5,69.9,120.2,false,0
nodo_chancay_01,3120000,349.8,15.8,16.8,72.2,118.5,false,0
nodo_chancay_01,3180000,369.2,14.9,16.8,72.0,122.3,false,0
nodo_chancay_01,3240000,375.5,15.2,16.5,74.2,121.6,false,0
nodo_chancay_01,3300000,374.0,16.0,16.0,78.8,118.5,false,0
nodo_chancay_01,3360000,347.4,15.3,16.8,76.6,120.5,false,0
nodo_chancay_01,3420000,355.4,15.5,16.8,74.5,119.6,false,0
nodo_chancay_01,3480000,365.0,15.2,16.3,75.0,121.2,false,0
nodo_chancay_01,3540000,374.6,15.3,16.7,74.0,121.0,false,0
nodo_chancay_01,3600000,352.8,15.3,15.4,77.2,120.2,false,0
nodo_chancay_01,3660000,357.2,15.5,16.3,77.6,116.0,false,0
nodo_chancay_01,3720000,343.4,15.4,16.3,76.8,124.5,false,0
nodo_chancay_01,3780000,342.1,15.3,15.9,68.4,123.2,false,0
nodo_chancay_01,3840000,372.2,15.4,16.0,75.0,120.3,false,0
nodo_chancay_01,3900000,380.3,15.1,16.6,74.4,121.6,false,0
nodo_chancay_01,3960000,358.9,15.6,16.3,78.0,121.8,false,0
nodo_chancay_01,4020000,375.1,15.4,16.4,75.7,117.9,false,0
nodo_chancay_01,4080000,365.4,15.2,16.6,76.7,123.7,false,0
nodo_chancay_01,4140000,350.3,15.2,16.3,73.5,113.9,false,0
nodo_chancay_01,4200000,365.4,15.7,16.3,77.8,114.9,false,0
nodo_chancay_01,4260000,383.1,15.4,16.3,78.7,117.9,false,0
nodo_chancay_01,4320000,359.5,15.3,15.5,70.1,121.0,false,0
nodo_chancay_01,4380000,383.5,15.4,16.5,71.1,120.4,false,0
nodo_chancay_01,4440000,320.7,15.6,16.3,77.3,120.2,false,0
nodo_chancay_01,4500000,372.3,16.0,16.4,74.5,119.8,false,0
nodo_chancay_01,4560000,361.3,15.0,16.1,78.1,119.0,false,0
nodo_chancay_01,4620000,355.5,15.3,16.2,75.7,116.2,false,0
nodo_chancay_01,4680000,361.4,15.4,16.5,77.1,115.9,false,0
nodo_chancay_01,4740000,330.2,15.2,15.4,72.8,116.1,false,0
nodo_chancay_01,4800000,356.7,15.4,15.1,76.0,116.7,false,0
nodo_chancay_01,4860000,365.4,15.5,16.5,76.0,115.8,false,0
nodo_chancay_01,4920000,382.2,15.3,16.0,72.9,115.7,false,0
nodo_chancay_01,4980000,352.2,15.4,15.3,78.0,119.2,false,0
nodo_chancay_01,5040000,347.9,15.1,15.8,69.3,123.2,false,0
nodo_chancay_01,5100000,352.5,15.2,16.2,75.6,121.3,false,0
nodo_chancay_01,5160000,373.7,15.5,16.0,71.1,117.2,false,0
nodo_chancay_01,5220000,364.9,15.5,16.1,71.9,117.9,false,0
nodo_chancay_01,5280000,352.1,15.6,16.2,78.0,125.7,false,0
nodo_chancay_01,5340000,367.7,15.5,15.7,71.7,118.5,false,0
nodo_chancay_01,5400000,361.5,15.5,15.5,71.6,116.7,false,0
nodo_chancay_01,5460000,374.5,15.3,16.4,76.7,119.1,false,0
nodo_chancay_01,5520000,349.5,15.0,16.6,71.7,118.3,false,0
nodo_chancay_01,5580000,355.1,15.1,16.1,78.1,117.4,false,0
nodo_chancay_01,5640000,354.1,15.5,15.1,76.9,120.1,false,0
nodo_chancay_01,5700000,338.0,15.5,15.9,72.7,123.8,false,0
nodo_chancay_01,5760000,364.4,15.6,15.6,77.9,116.0,false,0
nodo_chancay_01,5820000,363.9,15.5,15.9,69.2,121.2,false,0
nodo_chancay_01,5880000,360.1,15.3,16.0,76.4,123.0,false,0
nodo_chancay_01,5940000,356.5,15.6,16.6,71.3,121.4,false,0
nodo_chancay_01,6000000,338.8,15.3,16.3,73.4,123.1,false,0
nodo_chancay_01,6060000,353.7,15.1,15.0,73.6,121.6,false,0
nodo_chancay_01,6120000,354.9,15.3,15.5,78.8,117.9,false,0
nodo_chancay_01,6180000,348.0,15.6,16.5,73.5,125.4,false,0
nodo_chancay_01,6240000,357.6,15.2,15.7,74.8,121.6,false,0
nodo_chancay_01,6300000,366.1,15.1,16.2,73.7,126.9,false,0
nodo_chancay_01,6360000,388.3,15.5,15.8,72.1,114.4,false,0
nodo_chancay_01,6420000,362.6,15.1,16.4,71.9,127.2,false,0
nodo_chancay_01,6480000,363.9,15.4,16.2,75.9,122.6,false,0
nodo_chancay_01,6540000,358.9,15.5,16.3,74.9,121.4,false,0
nodo_chancay_01,6600000,331.2,14.9,15.3,77.3,117.2,false,0
nodo_chancay_01,6660000,359.6,15.2,16.2,74.3,122.2,false,0
nodo_chancay_01,6720000,360.9,15.3,15.4,74.4,123.6,false,0
nodo_chancay_01,6780000,396.9,15.3,16.3,77.3,114.7,false,0
nodo_chancay_01,6840000,357.1,15.4,16.8,73.9,121.7,false,0
nodo_chancay_01,6900000,364.5,15.3,15.4,70.7,118.1,false,0
nodo_chancay_01,6960000,359.5,15.2,16.2,77.5,121.7,false,0
nodo_chancay_01,7020000,342.5,15.1,15.4,73.0,116.9,false,0
nodo_chancay_01,7080000,377.1,15.4,15.8,75.2,123.8,false,0
nodo_chancay_01,7140000,371.3,15.2,15.8,73.1,119.8,false,0
nodo_chancay_01,7200000,371.9,15.2,16.2,72.1,122.2,false,0
nodo_chancay_01,7260000,346.4,15.1,16.4,69.3,122.9,false,0
nodo_chancay_01,7320000,381.0,15.3,16.4,76.0,120.9,false,0
nodo_chancay_01,7380000,339.0,15.6,15.6,64.8,117.4,false,0
nodo_chancay_01,7440000,368.8,15.2,16.2,78.9,121.9,false,0
nodo_chancay_01,7500000,392.9,15.1,15.7,78.1,119.7,false,0
nodo_chancay_01,7560000,345.1,15.4,16.0,72.3,120.6,false,0
nodo_chancay_01,7620000,351.5,15.5,15.7,79.8,118.9,false,0
nodo_chancay_01,7680000,361.5,15.2,16.2,81.2,114.6,false,0
nodo_chancay_01,7740000,352.4,15.2,15.7,74.2,120.2,false,0
nodo_chancay_01,7800000,336.7,15.1,16.0,76.2,118.2,false,0
nodo_chancay_01,7860000,361.0,15.1,16.2,75.4,120.9,false,0
nodo_chancay_01,7920000,344.1,15.0,15.3,79.5,119.9,false,0
nodo_chancay_01,7980000,367.1,15.4,16.4,70.8,118.4,false,0
nodo_chancay_01,8040000,346.2,15.0,16.7,74.3,126.4,false,0
nodo_chancay_01,8100000,383.2,15.1,15.5,77.8,119.1,false,0
nodo_chancay_01,8160000,348.3,15.6,15.2,77.4,120.2,false,0
nodo_chancay_01,8220000,355.2,15.0,16.2,74.9,125.6,false,0
nodo_chancay_01,8280000,372.2,15.1,16.3,79.2,117.0,false,0
nodo_chancay_01,8340000,341.5,15.1,15.5,75.7,122.5,false,0
nodo_chancay_01,8400000,363.4,15.1,15.8,75.3,117.8,false,0
nodo_chancay_01,8460000,379.6,15.0,16.1,77.1,119.3,false,0
nodo_chancay_01,8520000,335.9,15.3,15.9,74.8,121.2,false,0
nodo_chancay_01,8580000,362.8,15.0,16.4,75.2,123.4,false,0
nodo_chancay_01,8640000,363.9,14.7,16.2,72.6,116.9,false,0
nodo_chancay_01,8700000,371.7,15.1,15.7,83.8,120.8,false,0
nodo_chancay_01,8760000,341.4,15.2,16.4,73.6,117.8,false,0
nodo_chancay_01,8820000,340.2,14.9,16.0,77.2,121.9,false,0
nodo_chancay_01,8880000,367.8,14.6,15.6,80.7,122.9,false,0
nodo_chancay_01,8940000,364.5,14.9,15.8,71.0,122.0,false,0
nodo_chancay_01,9000000,363.8,15.3,16.3,76.8,117.6,false,0
nodo_chancay_01,9060000,365.2,15.0,15.5,75.1,116.7,false,0
nodo_chancay_01,9120000,349.8,15.3,15.6,80.4,119.5,false,0
nodo_chancay_01,9180000,363.5,15.1,16.7,72.3,116.3,false,0
nodo_chancay_01,9240000,364.4,15.2,15.7,72.7,121.5,false,0
nodo_chancay_01,9300000,349.3,14.7,16.6,74.9,124.2,false,0
nodo_chancay_01,9360000,388.0,15.1,15.5,73.5,117.6,false,0
nodo_chancay_01,9420000,367.1,15.1,16.2,73.6,121.6,false,0
nodo_chancay_01,9480000,342.1,15.3,16.5,81.1,117.6,false,0
nodo_chancay_01,9540000,369.8,15.1,15.6,75.4,123.8,false,0
nodo_chancay_01,9600000,345.4,15.4,15.7,72.6,123.0,false,0
nodo_chancay_01,9660000,371.8,15.4,16.5,73.8,119.8,false,0
nodo_chancay_01,9720000,377.4,15.0,16.9,76.2,122.3,false,0
nodo_chancay_01,9780000,347.7,15.2,16.4,76.0,122.5,false,0
nodo_chancay_01,9840000,374.5,15.0,16.0,73.3,116.4,false,0
nodo_chancay_01,9900000,366.2,14.8,16.1,70.1,121.5,false,0
nodo_chancay_01,9960000,372.3,14.8,15.7,74.8,118.1,false,0
nodo_chancay_01,10020000,388.5,15.0,15.3,74.8,120.4,false,0
nodo_chancay_01,10080000,356.3,15.0,16.4,73.1,119.0,false,0
nodo_chancay_01,10140000,348.7,15.1,15.4,78.8,120.1,false,0
nodo_chancay_01,10200000,346.7,15.2,15.9,76.7,122.8,false,0
nodo_chancay_01,10260000,347.8,15.5,16.1,75.4,116.6,false,0
nodo_chancay_01,10320000,358.8,14.7,15.8,73.9,114.8,false,0
nodo_chancay_01,10380000,365.1,14.8,16.4,80.2,118.7,false,0
nodo_chancay_01,10440000,364.2,14.8,16.1,71.5,123.3,false,0
nodo_chancay_01,10500000,372.4,15.0,16.0,73.5,117.3,false,0
nodo_chancay_01,10560000,360.2,15.2,16.4,73.6,118.5,false,0
nodo_chancay_01,10620000,381.8,15.0,16.3,75.9,123.5,false,0
nodo_chancay_01,10680000,356.0,15.2,16.5,77.0,124.2,false,0
nodo_chancay_01,10740000,400.8,15.0,16.0,71.0,122.1,false,0
nodo_chancay_01,10800000,369.4,15.1,16.5,72.9,121.2,false,0
nodo_chancay_01,10860000,347.1,14.8,16.3,76.3,123.0,false,0
nodo_chancay_01,10920000,343.9,14.9,16.5,73.0,118.8,false,0
nodo_chancay_01,10980000,367.2,15.2,16.6,73.8,122.1,false,0
nodo_chancay_01,11040000,356.6,15.4,16.5,75.5,117.6,false,0
nodo_chancay_01,11100000,370.7,15.0,16.2,72.1,124.9,false,0
nodo_chancay_01,11160000,367.1,15.1,16.3,75.8,123.1,false,0
nodo_chancay_01,11220000,358.9,14.8,16.6,76.8,122.0,false,0
nodo_chancay_01,11280000,347.3,14.7,15.8,75.1,119.0,false,0
nodo_chancay_01,11340000,337.3,15.1,16.3,79.3,122.1,false,0
nodo_chancay_01,11400000,353.3,15.3,15.4,77.2,119.9,false,0
nodo_chancay_01,11460000,372.8,15.0,16.2,74.9,118.3,false,0
nodo_chancay_01,11520000,363.2,15.1,15.3,74.0,121.8,false,0
nodo_chancay_01,11580000,341.3,15.4,16.0,80.3,114.3,false,0
nodo_chancay_01,11640000,362.6,15.1,15.5,73.0,122.7,false,0
nodo_chancay_01,11700000,365.8,15.2,16.7,74.2,116.9,false,0
nodo_chancay_01,11760000,346.7,15.0,16.0,73.8,122.2,false,0
nodo_chancay_01,11820000,362.3,15.0,15.9,76.2,115.5,false,0
nodo_chancay_01,11880000,360.9,15.3,16.4,81.8,118.8,false,0
nodo_chancay_01,11940000,342.9,14.9,16.0,75.7,121.4,false,0
nodo_chancay_01,12000000,365.4,15.3,15.8,74.0,122.6,false,0
nodo_chancay_01,12060000,368.4,14.7,16.2,75.6,117.9,false,0
nodo_chancay_01,12120000,376.2,15.0,15.7,71.1,117.2,false,0
nodo_chancay_01,12180000,375.8,14.9,17.1,74.4,123.1,false,0
nodo_chancay_01,12240000,339.3,15.2,16.4,80.1,125.7,false,0
nodo_chancay_01,12300000,345.9,15.3,16.6,77.0,117.3,false,0
nodo_chancay_01,12360000,367.7,15.2,16.9,78.7,112.2,false,0
nodo_chancay_01,12420000,367.7,15.4,16.9,78.0,124.6,false,0
nodo_chancay_01,12480000,367.7,14.4,16.6,72.9,119.6,false,0
nodo_chancay_01,12540000,417.8,14.8,16.2,80.7,117.3,false,0
nodo_chancay_01,12600000,368.6,14.9,16.5,69.7,120.2,false,0
nodo_chancay_01,12660000,377.0,14.7,16.4,76.0,125.8,false,0
nodo_chancay_01,12720000,374.3,15.4,16.4,68.8,122.0,false,0
nodo_chancay_01,12780000,369.8,15.1,16.6,69.9,122.3,false,0
nodo_chancay_01,12840000,355.3,14.8,16.5,77.8,120.5,false,0
nodo_chancay_01,12900000,371.4,14.6,16.3,72.9,121.4,false,0
nodo_chancay_01,12960000,348.4,15.1,17.5,78.7,125.1,false,0
nodo_chancay_01,13020000,356.4,15.0,15.9,68.5,117.3,false,0
nodo_chancay_01,13080000,352.7,14.8,16.6,74.7,122.3,false,0
nodo_chancay_01,13140000,361.2,15.5,16.7,71.4,119.9,false,0
nodo_chancay_01,13200000,394.7,14.9,17.0,74.0,119.8,false,0
nodo_chancay_01,13260000,332.0,14.9,16.4,79.6,116.6,false,0
nodo_chancay_01,13320000,370.3,15.3,16.8,80.4,121.3,false,0
nodo_chancay_01,13380000,335.8,15.1,16.4,76.5,121.7,false,0
nodo_chancay_01,13440000,352.9,15.0,16.9,70.2,119.4,false,0
nodo_chancay_01,13500000,376.3,15.2,16.6,71.4,124.3,false,0
nodo_chancay_01,13560000,361.0,15.0,16.9,75.5,120.2,false,0
nodo_chancay_01,13620000,343.8,15.1,16.7,72.6,113.6,false,0
nodo_chancay_01,13680000,349.3,14.8,16.4,77.0,121.6,false,0
nodo_chancay_01,13740000,370.2,14.8,16.0,80.0,116.5,false,0
nodo_chancay_01,13800000,349.0,14.7,16.1,72.1,124.3,false,0
nodo_chancay_01,13860000,363.2,15.3,16.3,72.3,125.6,false,0
nodo_chancay_01,13920000,360.7,14.7,16.5,71.5,123.0,false,0
nodo_chancay_01,13980000,350.2,15.0,16.8,74.2,120.0,false,0
nodo_chancay_01,14040000,392.2,15.1,16.6,75.2,121.8,false,0
nodo_chancay_01,14100000,369.5,14.7,16.9,75.1,117.8,false,0
nodo_chancay_01,14160000,329.6,15.1,17.2,77.7,121.8,false,0
nodo_chancay_01,14220000,362.8,15.3,16.4,76.2,117.6,false,0
nodo_chancay_01,14280000,350.1,15.2,17.2,74.8,125.6,false,0
nodo_chancay_01,14340000,372.8,15.0,15.5,75.1,117.0,false,0
nodo_chancay_01,14400000,348.1,14.8,16.8,75.3,115.1,false,0
nodo_chancay_01,14460000,358.3,15.0,16.9,74.8,119.5,false,0
nodo_chancay_01,14520000,367.6,15.2,16.9,73.0,121.8,false,0
nodo_chancay_01,14580000,373.0,14.8,17.2,71.4,127.0,false,0
nodo_chancay_01,14640000,342.0,14.8,17.1,75.4,117.8,false,0
nodo_chancay_01,14700000,355.0,14.9,17.1,73.5,120.2,false,0
nodo_chancay_01,14760000,352.9,15.1,15.9,76.6,120.0,false,0
nodo_chancay_01,14820000,350.2,14.8,16.5,75.2,116.8,false,0
nodo_chancay_01,14880000,386.5,15.4,16.6,75.0,117.0,false,0
nodo_chancay_01,14940000,366.1,14.9,17.1,78.0,114.3,false,0
nodo_chancay_01,15000000,341.1,14.6,17.1,70.8,124.6,false,0
nodo_chancay_01,15060000,373.8,15.4,16.4,80.3,117.6,false,0
nodo_chancay_01,15120000,391.8,14.9,17.0,68.4,113.7,false,0
nodo_chancay_01,15180000,375.5,15.1,16.4,79.4,118.8,false,0
nodo_chancay_01,15240000,337.2,15.0,17.1,75.6,123.7,false,0
nodo_chancay_01,15300000,352.7,14.9,17.2,73.4,121.5,false,0
nodo_chancay_01,15360000,379.0,15.2,17.3,70.6,121.5,false,0
nodo_chancay_01,15420000,349.4,15.1,16.4,73.2,124.9,false,0
nodo_chancay_01,15480000,366.7,15.1,16.6,74.5,123.1,false,0
nodo_chancay_01,15540000,371.6,15.0,15.8,75.6,112.1,false,0
nodo_chancay_01,15600000,346.1,15.1,17.2,79.3,118.6,false,0
nodo_chancay_01,15660000,359.1,14.7,17.5,75.2,121.3,false,0
nodo_chancay_01,15720000,311.4,15.0,16.5,76.0,120.6,false,0
nodo_chancay_01,15780000,344.6,15.2,16.6,76.1,121.7,false,0
nodo_chancay_01,15840000,356.2,15.1,17.4,74.0,128.1,false,0
nodo_chancay_01,15900000,341.3,14.9,16.9,74.4,117.1,false,0
nodo_chancay_01,15960000,384.5,15.3,17.5,74.7,113.3,false,0
nodo_chancay_01,16020000,338.5,15.3,17.0,76.9,112.7,false,0
nodo_chancay_01,16080000,353.4,14.9,17.2,72.3,122.8,false,0
nodo_chancay_01,16140000,362.0,15.1,16.8,73.5,119.5,false,0
nodo_chancay_01,16200000,381.6,15.4,17.0,76.1,115.5,false,0
nodo_chancay_01,16260000,338.5,15.2,16.0,71.8,119.3,false,0
nodo_chancay_01,16320000,377.4,15.1,17.8,75.3,118.6,false,0
nodo_chancay_01,16380000,360.2,15.1,17.3,73.4,118.9,false,0
nodo_chancay_01,16440000,345.3,14.8,17.0,76.5,114.3,false,0
nodo_chancay_01,16500000,366.9,15.3,16.9,79.1,121.8,false,0
nodo_chancay_01,16560000,363.0,15.0,16.5,73.4,122.2,false,0
nodo_chancay_01,16620000,351.0,15.1,16.7,77.3,120.4,false,0
nodo_chancay_01,16680000,361.0,15.3,17.3,75.6,119.8,false,0
nodo_chancay_01,16740000,354.2,15.0,17.2,73.8,120.5,false,0
nodo_chancay_01,16800000,361.7,14.8,17.5,75.0,120.1,false,0
nodo_chancay_01,16860000,369.9,14.9,16.8,78.9,114.7,false,0
nodo_chancay_01,16920000,383.8,14.9,17.7,74.5,117.5,false,0
nodo_chancay_01,16980000,341.4,15.1,16.9,78.9,120.6,false,0
nodo_chancay_01,17040000,392.0,14.9,16.8,74.6,117.8,false,0
nodo_chancay_01,17100000,330.7,14.6,17.0,70.8,122.7,false,0
nodo_chancay_01,17160000,357.7,14.7,17.9,74.6,115.9,false,0
nodo_chancay_01,17220000,368.8,14.9,17.6,70.5,127.0,false,0
nodo_chancay_01,17280000,364.2,15.0,16.9,74.0,126.2,false,0
nodo_chancay_01,17340000,350.7,14.9,17.0,73.9,119.2,false,0
nodo_chancay_01,17400000,356.9,14.9,16.4,80.5,115.5,false,0
nodo_chancay_01,17460000,352.6,15.0,17.5,79.8,118.4,false,0
nodo_chancay_01,17520000,351.2,15.1,17.2,75.3,123.6,false,0
nodo_chancay_01,17580000,372.7,14.7,17.1,78.6,119.0,false,0
nodo_chancay_01,17640000,365.4,15.2,18.0,73.8,121.2,false,0
nodo_chancay_01,17700000,349.6,15.1,18.3,70.7,120.2,false,0
nodo_chancay_01,17760000,373.5,14.8,17.6,76.6,121.7,false,0
nodo_chancay_01,17820000,364.6,14.8,17.5,76.1,121.5,false,0
nodo_chancay_01,17880000,372.2,15.3,17.5,72.2,119.1,false,0
nodo_chancay_01,17940000,369.4,14.9,17.4,72.3,124.4,false,0
nodo_chancay_01,18000000,347.6,15.0,16.9,77.8,121.5,false,0
nodo_chancay_01,18060000,351.6,15.0,17.2,69.9,123.5,false,0
nodo_chancay_01,18120000,371.2,15.2,17.5,76.7,119.3,false,0
nodo_chancay_01,18180000,369.2,14.7,17.9,74.1,119.5,false,0
nodo_chancay_01,18240000,359.7,14.8,17.4,76.7,128.0,false,0
nodo_chancay_01,18300000,361.8,14.9,18.2,78.0,119.9,false,0
nodo_chancay_01,18360000,379.2,15.3,18.0,72.4,123.8,false,0
nodo_chancay_01,18420000,351.1,14.7,17.6,71.6,115.6,false,0
nodo_chancay_01,18480000,368.2,15.2,17.5,79.4,121.1,false,0
nodo_chancay_01,18540000,357.0,15.1,17.7,74.8,118.8,false,0
nodo_chancay_01,18600000,356.7,15.0,17.9,76.0,124.6,false,0
nodo_chancay_01,18660000,376.5,15.4,17.7,77.7,118.0,false,0
nodo_chancay_01,18720000,372.4,15.0,17.7,72.1,118.7,false,0
nodo_chancay_01,18780000,372.2,15.4,18.1,77.7,121.7,false,0
nodo_chancay_01,18840000,379.6,14.9,17.7,76.9,116.8,false,0
nodo_chancay_01,18900000,360.3,14.7,18.1,79.4,120.4,false,0
nodo_chancay_01,18960000,370.2,15.3,17.6,79.4,118.2,false,0
nodo_chancay_01,19020000,355.3,14.9,17.4,75.2,120.4,false,0
nodo_chancay_01,19080000,364.9,15.1,17.5,77.3,119.7,false,0
nodo_chancay_01,19140000,358.0,15.5,17.6,75.1,125.5,false,0
nodo_chancay_01,19200000,361.5,15.4,17.3,75.4,121.4,false,0
nodo_chancay_01,19260000,368.9,15.0,18.0,71.6,116.1,false,0
nodo_chancay_01,19320000,347.7,15.0,17.6,74.3,117.2,false,0
nodo_chancay_01,19380000,391.4,15.3,17.5,69.6,118.7,false,0
nodo_chancay_01,19440000,344.9,15.1,18.0,74.6,117.9,false,0
nodo_chancay_01,19500000,341.8,15.3,17.2,79.0,124.3,false,0
nodo_chancay_01,19560000,377.4,15.4,17.9,77.3,118.3,false,0
nodo_chancay_01,19620000,371.9,15.2,17.8,75.3,119.9,false,0
nodo_chancay_01,19680000,369.4,15.0,17.5,74.4,121.8,false,0
nodo_chancay_01,19740000,369.4,15.3,18.2,73.4,128.4,false,0
nodo_chancay_01,19800000,359.8,15.3,17.7,72.2,119.6,false,0
nodo_chancay_01,19860000,346.5,15.0,18.3,77.5,125.0,false,0
nodo_chancay_01,19920000,361.1,15.1,18.1,70.4,118.7,false,0
nodo_chancay_01,19980000,349.8,15.1,17.8,70.3,122.9,false,0
nodo_chancay_01,20040000,374.6,15.6,18.7,77.7,117.5,false,0
nodo_chancay_01,20100000,357.8,15.2,18.1,75.6,122.4,false,0
nodo_chancay_01,20160000,347.6,15.2,17.9,75.1,118.9,false,0
nodo_chancay_01,20220000,355.2,15.1,18.8,75.6,122.7,false,0
nodo_chancay_01,20280000,366.2,15.0,18.0,81.0,122.4,false,0
nodo_chancay_01,20340000,351.5,15.0,19.1,75.2,121.9,false,0
nodo_chancay_01,20400000,347.7,15.3,18.4,75.9,121.3,false,0
nodo_chancay_01,20460000,363.7,15.4,18.9,81.2,118.6,false,0
nodo_chancay_01,20520000,363.7,15.4,18.6,74.8,122.2,false,0
nodo_chancay_01,20580000,352.4,15.3,18.0,80.2,115.2,false,0
nodo_chancay_01,20640000,352.9,15.2,18.4,68.7,127.7,false,0
nodo_chancay_01,20700000,363.5,15.2,18.8,71.5,121.9,false,0
nodo_chancay_01,20760000,338.3,15.4,19.1,73.0,121.6,false,0
nodo_chancay_01,20820000,338.9,15.5,18.4,76.8,121.4,false,0
nodo_chancay_01,20880000,349.2,15.4,17.8,80.3,117.8,false,0
nodo_chancay_01,20940000,356.8,15.4,18.5,73.2,118.2,false,0
nodo_chancay_01,21000000,364.7,15.3,18.1,77.9,120.7,false,0
nodo_chancay_01,21060000,382.1,15.4,18.1,81.7,118.5,false,0
nodo_chancay_01,21120000,372.9,15.3,18.7,79.7,116.4,false,0
nodo_chancay_01,21180000,357.6,15.1,18.2,73.8,119.8,false,0
nodo_chancay_01,21240000,359.7,15.0,18.5,77.6,121.1,false,0
nodo_chancay_01,21300000,345.0,15.1,18.1,76.0,120.0,false,0
nodo_chancay_01,21360000,359.7,15.4,18.3,73.0,123.2,false,0
nodo_chancay_01,21420000,355.7,15.0,18.1,76.3,120.5,false,0
nodo_chancay_01,21480000,364.8,15.4,19.1,73.6,124.8,false,0
nodo_chancay_01,21540000,347.6,15.0,18.2,75.4,126.9,false,0
nodo_chancay_01,21600000,367.8,15.2,18.6,70.9,119.6,false,0
nodo_chancay_01,21660000,383.0,15.3,18.8,69.7,116.7,false,0
nodo_chancay_01,21720000,358.4,15.2,18.4,74.1,116.6,false,0
nodo_chancay_01,21780000,366.0,15.4,18.9,76.0,119.9,false,0
nodo_chancay_01,21840000,370.4,15.3,18.8,71.6,122.4,false,0
