node_id,timestamp_ms,tds_ppm,ph,turbidez_ntu,temp_agua_c,temp_ambiente_c,nivel_m,alerta,estado_mapek
nodo_chancay_01,5640000,226.1,7.45,15.2,15.5,16.4,1.13,false,0
nodo_chancay_01,5700000,215.4,7.31,21.3,15.3,16.4,1.19,false,0
nodo_chancay_01,5760000,233.0,7.49,8.4,15.2,16.6,1.16,false,0
nodo_chancay_01,5820000,232.6,7.2,16.9,15.3,16.4,1.19,false,0
nodo_chancay_01,5880000,230.1,7.44,19.9,15.3,16.2,1.2,false,0
nodo_chancay_01,5940000,227.7,7.27,17.3,15.4,16.6,1.25,false,0
nodo_chancay_01,6000000,215.8,7.34,20.2,15.4,16.1,1.22,false,0
nodo_chancay_01,6060000,225.8,7.34,17.7,15.6,15.8,1.13,false,0
nodo_chancay_01,6120000,226.6,7.52,11.5,15.3,16.0,1.16,false,0
nodo_chancay_01,6180000,222.0,7.34,24.0,15.6,16.6,1.23,false,0
nodo_chancay_01,6240000,228.4,7.38,17.6,15.5,16.0,1.18,false,0
nodo_chancay_01,6300000,234.0,7.35,26.4,15.4,15.7,1.21,false,0
nodo_chancay_01,6360000,248.9,7.29,5.7,15.4,16.4,1.18,false,0
nodo_chancay_01,6420000,231.7,7.29,27.0,15.5,15.6,1.23,false,0
nodo_chancay_01,6480000,232.6,7.42,19.3,15.2,16.3,1.21,false,0
nodo_chancay_01,6540000,229.3,7.39,17.4,15.3,16.6,1.23,false,0
nodo_chancay_01,6600000,210.8,7.47,10.4,15.0,15.4,1.14,false,0
nodo_chancay_01,6660000,229.7,7.37,18.7,15.6,15.9,1.22,false,0
nodo_chancay_01,6720000,230.6,7.37,21.0,15.3,16.2,1.16,false,0
nodo_chancay_01,6780000,254.6,7.47,6.2,15.7,16.2,1.23,false,0
nodo_chancay_01,6840000,228.1,7.35,17.9,15.4,16.3,1.26,false,0
nodo_chancay_01,6900000,233.0,7.25,11.8,15.2,16.1,1.15,false,0
nodo_chancay_01,6960000,229.7,7.47,17.9,15.3,15.9,1.22,false,0
nodo_chancay_01,7020000,218.3,7.32,9.8,15.3,15.7,1.16,false,0
nodo_chancay_01,7080000,241.4,7.4,21.4,15.4,16.3,1.18,false,0
nodo_chancay_01,7140000,237.5,7.33,14.6,15.0,16.0,1.19,false,0
nodo_chancay_01,7200000,237.9,7.29,18.7,15.2,16.0,1.22,false,0
nodo_chancay_01,7260000,220.9,7.2,19.8,15.2,15.8,1.23,false,0
nodo_chancay_01,7320000,244.0,7.42,16.5,15.2,16.3,1.23,false,0
nodo_chancay_01,7380000,216.0,7.05,10.7,15.2,16.8,1.17,false,0
nodo_chancay_01,7440000,235.9,7.52,18.2,15.5,16.1,1.22,false,0
nodo_chancay_01,7500000,251.9,7.49,14.5,14.8,15.9,1.18,false,0
nodo_chancay_01,7560000,220.1,7.3,16.0,14.9,16.4,1.2,false,0
nodo_chancay_01,7620000,224.3,7.55,13.2,15.3,16.7,1.18,false,0
nodo_chancay_01,7680000,231.0,7.6,6.1,15.1,16.0,1.22,false,0
nodo_chancay_01,7740000,225.0,7.36,15.3,14.8,16.1,1.18,false,0
nodo_chancay_01,7800000,214.5,7.43,12.0,15.1,16.0,1.2,false,0
nodo_chancay_01,7860000,230.7,7.4,16.5,15.4,15.8,1.22,false,0
nodo_chancay_01,7920000,219.4,7.54,14.8,15.1,15.8,1.15,false,0
nodo_chancay_01,7980000,234.7,7.25,12.4,15.1,16.5,1.23,false,0
nodo_chancay_01,8040000,220.8,7.37,25.7,14.8,15.7,1.25,false,0
nodo_chancay_01,8100000,245.5,7.48,13.4,15.3,16.0,1.16,false,0
nodo_chancay_01,8160000,222.2,7.47,15.4,15.1,16.9,1.14,false,0
nodo_chancay_01,8220000,226.8,7.39,24.4,15.1,15.7,1.21,false,0
nodo_chancay_01,8280000,238.1,7.53,10.0,15.3,16.0,1.22,false,0
nodo_chancay_01,8340000,217.7,7.41,19.2,15.0,15.9,1.16,false,0
nodo_chancay_01,8400000,232.3,7.4,11.3,15.3,15.9,1.18,false,0
nodo_chancay_01,8460000,243.1,7.46,13.8,15.5,15.8,1.21,false,0
nodo_chancay_01,8520000,213.9,7.38,17.0,15.2,16.3,1.19,false,0
nodo_chancay_01,8580000,231.8,7.4,20.7,15.2,15.8,1.23,false,0
nodo_chancay_01,8640000,232.6,7.31,9.9,15.4,15.2,1.21,false,0
nodo_chancay_01,8700000,237.8,7.68,16.3,15.2,16.0,1.17,false,0
nodo_chancay_01,8760000,217.6,7.34,11.3,15.0,16.1,1.23,false,0
nodo_chancay_01,8820000,216.8,7.46,18.2,15.4,15.6,1.2,false,0
nodo_chancay_01,8880000,235.2,7.58,19.8,15.2,15.1,1.17,false,0
nodo_chancay_01,8940000,233.0,7.26,18.3,14.8,15.6,1.19,false,0
nodo_chancay_01,9000000,232.5,7.45,11.0,15.4,16.5,1.22,false,0
nodo_chancay_01,9060000,233.5,7.39,9.5,15.1,15.7,1.16,false,0
nodo_chancay_01,9120000,223.2,7.57,14.1,15.0,16.3,1.17,false,0
nodo_chancay_01,9180000,232.3,7.3,8.9,14.8,16.1,1.25,false,0
nodo_chancay_01,9240000,232.9,7.31,17.6,15.2,16.3,1.17,false,0
nodo_chancay_01,9300000,222.9,7.39,22.1,15.2,15.3,1.24,false,0
nodo_chancay_01,9360000,248.7,7.34,11.1,15.1,16.1,1.16,false,0
nodo_chancay_01,9420000,234.7,7.34,17.6,15.0,16.0,1.21,false,0
nodo_chancay_01,9480000,218.1,7.59,11.0,14.9,16.4,1.23,false,0
nodo_chancay_01,9540000,236.6,7.4,21.3,15.5,16.0,1.17,false,0
nodo_chancay_01,9600000,220.3,7.31,20.1,15.2,16.7,1.18,false,0
nodo_chancay_01,9660000,237.9,7.35,14.6,15.2,16.6,1.23,false,0
nodo_chancay_01,9720000,241.6,7.43,18.8,15.4,16.0,1.26,false,0
nodo_chancay_01,9780000,221.8,7.42,19.2,15.1,16.4,1.22,false,0
nodo_chancay_01,9840000,239.6,7.33,9.0,14.9,16.0,1.2,false,0
nodo_chancay_01,9900000,234.1,7.23,17.5,15.1,15.6,1.2,false,0
nodo_chancay_01,9960000,238.2,7.38,11.9,15.2,15.5,1.17,false,0
nodo_chancay_01,10020000,249.0,7.38,15.6,15.4,16.0,1.14,false,0
nodo_chancay_01,10080000,227.5,7.33,13.3,14.8,16.0,1.22,false,0
nodo_chancay_01,10140000,222.5,7.52,15.1,15.0,16.2,1.15,false,0
nodo_chancay_01,10200000,221.1,7.45,19.6,15.0,16.5,1.18,false,0
nodo_chancay_01,10260000,221.8,7.4,9.3,15.3,17.0,1.2,false,0
nodo_chancay_01,10320000,229.2,7.35,6.3,15.2,15.3,1.18,false,0
nodo_chancay_01,10380000,233.4,7.56,12.8,15.2,15.7,1.22,false,0
nodo_chancay_01,10440000,232.8,7.27,20.5,14.7,15.6,1.2,false,0
nodo_chancay_01,10500000,238.3,7.34,10.5,14.9,16.0,1.19,false,0
nodo_chancay_01,10560000,230.1,7.34,12.4,15.1,16.5,1.22,false,0
nodo_chancay_01,10620000,244.5,7.42,20.8,15.2,16.1,1.21,false,0
nodo_chancay_01,10680000,227.4,7.46,21.9,15.1,16.4,1.23,false,0
nodo_chancay_01,10740000,257.2,7.26,18.5,15.4,16.0,1.19,false,0
nodo_chancay_01,10800000,236.3,7.32,17.0,15.1,16.2,1.22,false,0
nodo_chancay_01,10860000,221.4,7.43,20.0,14.8,15.7,1.21,false,0
nodo_chancay_01,10920000,219.3,7.32,12.9,15.1,15.9,1.22,false,0
nodo_chancay_01,10980000,234.8,7.35,18.5,14.9,16.4,1.23,false,0
nodo_chancay_01,11040000,227.8,7.41,11.0,15.1,16.9,1.22,false,0
nodo_chancay_01,11100000,237.1,7.29,23.1,14.7,16.2,1.2,false,0
nodo_chancay_01,11160000,234.7,7.42,20.2,14.9,16.4,1.21,false,0
nodo_chancay_01,11220000,229.3,7.45,18.3,15.3,15.8,1.23,false,0
nodo_chancay_01,11280000,221.5,7.39,13.3,15.2,15.6,1.17,false,0
nodo_chancay_01,11340000,214.9,7.53,18.5,15.3,16.3,1.21,false,0
nodo_chancay_01,11400000,225.5,7.46,14.9,15.0,16.8,1.14,false,0
nodo_chancay_01,11460000,238.6,7.39,12.2,15.3,16.2,1.19,false,0
nodo_chancay_01,11520000,232.1,7.36,17.9,14.9,16.5,1.13,false,0
nodo_chancay_01,11580000,217.5,7.57,5.5,15.1,17.0,1.18,false,0
nodo_chancay_01,11640000,231.7,7.32,19.4,15.1,16.3,1.15,false,0
nodo_chancay_01,11700000,233.9,7.36,9.8,15.3,16.5,1.23,false,0
nodo_chancay_01,11760000,221.2,7.35,18.7,14.6,16.2,1.18,false,0
nodo_chancay_01,11820000,231.5,7.43,7.5,15.1,16.1,1.17,false,0
nodo_chancay_01,11880000,230.6,7.62,12.9,15.2,16.8,1.21,false,0
nodo_chancay_01,11940000,218.6,7.41,17.3,14.8,16.1,1.18,false,0
nodo_chancay_01,12000000,233.6,7.36,19.4,14.9,16.8,1.16,false,0
nodo_chancay_01,12060000,235.6,7.41,11.5,14.7,15.6,1.19,false,0
nodo_chancay_01,12120000,240.8,7.26,10.4,15.1,16.3,1.15,false,0
nodo_chancay_01,12180000,240.5,7.37,20.1,14.9,16.0,1.26,false,0
nodo_chancay_01,12240000,216.2,7.56,24.5,14.9,16.6,1.2,false,0
nodo_chancay_01,12300000,220.6,7.46,10.5,15.3,16.8,1.22,false,0
nodo_chancay_01,12360000,235.2,7.51,1.9,15.1,16.7,1.24,false,0
nodo_chancay_01,12420000,235.1,7.49,22.6,14.6,17.1,1.24,false,0
nodo_chancay_01,12480000,235.2,7.32,14.3,15.1,15.2,1.22,false,0
nodo_chancay_01,12540000,268.5,7.58,10.5,14.8,16.0,1.19,false,0
nodo_chancay_01,12600000,235.7,7.21,15.3,14.8,16.1,1.21,false,0
nodo_chancay_01,12660000,241.4,7.42,24.7,14.8,15.8,1.2,false,0
nodo_chancay_01,12720000,239.5,7.18,18.3,15.0,17.3,1.2,false,0
nodo_chancay_01,12780000,236.5,7.22,18.9,14.9,16.6,1.22,false,0
nodo_chancay_01,12840000,226.8,7.48,15.8,14.9,16.0,1.21,false,0
nodo_chancay_01,12900000,237.6,7.32,17.4,15.1,15.7,1.19,false,0
nodo_chancay_01,12960000,222.3,7.51,23.5,15.2,16.7,1.28,false,0
nodo_chancay_01,13020000,227.6,7.17,10.5,14.7,16.5,1.16,false,0
nodo_chancay_01,13080000,225.1,7.38,18.8,14.5,16.0,1.21,false,0
nodo_chancay_01,13140000,230.8,7.27,14.8,15.1,17.4,1.22,false,0
nodo_chancay_01,13200000,253.1,7.36,14.7,14.7,16.3,1.24,false,0
nodo_chancay_01,13260000,211.3,7.54,9.3,14.7,16.2,1.2,false,0
nodo_chancay_01,13320000,236.9,7.57,17.1,14.9,17.1,1.22,false,0
nodo_chancay_01,13380000,213.9,7.44,17.9,15.2,16.7,1.19,false,0
nodo_chancay_01,13440000,225.3,7.23,14.1,15.3,16.5,1.23,false,0
nodo_chancay_01,13500000,240.9,7.27,22.2,14.9,17.0,1.21,false,0
nodo_chancay_01,13560000,230.6,7.41,15.4,14.9,16.5,1.22,false,0
nodo_chancay_01,13620000,219.2,7.31,4.4,14.8,16.8,1.21,false,0
nodo_chancay_01,13680000,222.8,7.46,17.7,15.0,16.2,1.19,false,0
nodo_chancay_01,13740000,236.8,7.56,9.2,14.9,16.1,1.16,false,0
nodo_chancay_01,13800000,222.7,7.29,22.1,14.8,16.0,1.17,false,0
nodo_chancay_01,13860000,232.2,7.3,24.4,15.3,17.1,1.18,false,0
nodo_chancay_01,13920000,230.5,7.27,20.0,14.4,16.0,1.19,false,0
nodo_chancay_01,13980000,223.5,7.36,15.0,14.9,16.5,1.22,false,0
nodo_chancay_01,14040000,251.4,7.4,18.0,15.2,16.9,1.2,false,0
nodo_chancay_01,14100000,236.3,7.39,11.3,14.8,16.0,1.22,false,0
nodo_chancay_01,14160000,209.7,7.48,18.1,15.3,16.9,1.24,false,0
nodo_chancay_01,14220000,231.9,7.43,11.0,14.9,17.2,1.18,false,0
nodo_chancay_01,14280000,223.4,7.38,24.4,15.1,17.0,1.24,false,0
nodo_chancay_01,14340000,238.5,7.39,10.1,15.1,16.7,1.12,false,0
nodo_chancay_01,14400000,222.1,7.4,6.8,15.1,16.3,1.21,false,0
nodo_chancay_01,14460000,228.9,7.38,14.2,15.0,16.6,1.21,false,0
nodo_chancay_01,14520000,235.0,7.32,18.0,14.7,17.0,1.22,false,0
nodo_chancay_01,14580000,238.7,7.27,26.6,15.0,16.4,1.24,false,0
nodo_chancay_01,14640000,218.0,7.4,11.4,15.2,16.4,1.23,false,0
nodo_chancay_01,14700000,226.7,7.34,15.3,15.3,16.6,1.23,false,0
nodo_chancay_01,14760000,225.3,7.44,15.0,15.1,16.8,1.14,false,0
nodo_chancay_01,14820000,223.5,7.4,9.7,14.5,16.4,1.18,false,0
nodo_chancay_01,14880000,247.7,7.39,10.0,14.9,17.6,1.19,false,0
nodo_chancay_01,14940000,234.0,7.49,5.6,14.9,16.5,1.22,false,0
nodo_chancay_01,15000000,217.4,7.25,22.6,14.6,16.0,1.23,false,0
nodo_chancay_01,15060000,239.2,7.57,11.0,15.1,17.7,1.17,false,0
nodo_chancay_01,15120000,251.2,7.17,4.6,15.1,16.7,1.21,false,0
nodo_chancay_01,15180000,240.3,7.54,13.1,15.2,17.0,1.17,false,0
nodo_chancay_01,15240000,214.8,7.41,21.1,14.9,16.8,1.22,false,0
nodo_chancay_01,15300000,225.2,7.34,17.6,15.0,16.7,1.23,false,0
nodo_chancay_01,15360000,242.7,7.24,17.6,15.1,17.2,1.24,false,0
nodo_chancay_01,15420000,222.9,7.33,23.1,14.9,17.0,1.16,false,0
nodo_chancay_01,15480000,234.4,7.37,20.2,14.6,17.1,1.18,false,0
nodo_chancay_01,15540000,237.7,7.41,1.9,14.9,17.0,1.12,false,0
nodo_chancay_01,15600000,220.7,7.53,12.6,14.8,17.1,1.23,false,0
nodo_chancay_01,15660000,229.4,7.4,17.2,15.0,16.3,1.24,false,0
nodo_chancay_01,15720000,197.6,7.42,15.9,15.2,17.0,1.17,false,0
nodo_chancay_01,15780000,219.8,7.43,17.8,14.7,17.4,1.18,false,0
nodo_chancay_01,15840000,227.5,7.36,28.4,14.8,17.2,1.23,false,0
nodo_chancay_01,15900000,217.5,7.37,10.2,15.2,16.8,1.19,false,0
nodo_chancay_01,15960000,246.3,7.38,3.8,15.1,17.6,1.24,false,0
nodo_chancay_01,16020000,215.7,7.45,2.8,15.1,17.7,1.2,false,0
nodo_chancay_01,16080000,225.6,7.3,19.6,15.1,16.8,1.22,false,0
nodo_chancay_01,16140000,231.3,7.34,14.2,15.0,17.2,1.18,false,0
nodo_chancay_01,16200000,244.4,7.43,7.6,14.9,17.9,1.2,false,0
nodo_chancay_01,16260000,215.6,7.28,13.8,14.8,17.3,1.12,false,0
nodo_chancay_01,16320000,241.6,7.4,12.6,15.0,17.3,1.26,false,0
nodo_chancay_01,16380000,230.1,7.34,13.2,15.5,17.2,1.22,false,0
nodo_chancay_01,16440000,220.2,7.44,5.4,14.9,16.6,1.19,false,0
nodo_chancay_01,16500000,234.6,7.53,18.0,14.8,17.7,1.19,false,0
nodo_chancay_01,16560000,232.0,7.34,18.6,15.3,17.1,1.15,false,0
nodo_chancay_01,16620000,224.0,7.47,15.6,15.0,17.3,1.17,false,0
nodo_chancay_01,16680000,230.7,7.41,14.6,15.2,17.6,1.21,false,0
nodo_chancay_01,16740000,226.1,7.35,15.9,15.0,17.0,1.2,false,0
nodo_chancay_01,16800000,231.1,7.39,15.2,15.2,16.6,1.22,false,0
nodo_chancay_01,16860000,236.6,7.52,6.1,15.5,16.9,1.17,false,0
nodo_chancay_01,16920000,245.9,7.37,10.8,14.8,17.0,1.24,false,0
nodo_chancay_01,16980000,217.6,7.52,16.1,15.3,17.4,1.18,false,0
nodo_chancay_01,17040000,251.3,7.38,11.3,14.8,17.1,1.17,false,0
nodo_chancay_01,17100000,210.5,7.25,19.4,15.2,16.5,1.18,false,0
nodo_chancay_01,17160000,228.5,7.38,8.2,14.8,16.6,1.25,false,0
nodo_chancay_01,17220000,235.9,7.24,26.7,15.1,17.0,1.22,false,0
nodo_chancay_01,17280000,232.8,7.36,25.4,15.1,17.1,1.17,false,0
nodo_chancay_01,17340000,223.8,7.35,13.6,14.9,17.1,1.18,false,0
nodo_chancay_01,17400000,227.9,7.57,7.5,14.9,17.1,1.13,false,0
nodo_chancay_01,17460000,225.1,7.55,12.3,15.3,17.3,1.21,false,0
nodo_chancay_01,17520000,224.1,7.4,21.1,14.9,17.5,1.19,false,0
nodo_chancay_01,17580000,238.5,7.51,13.3,14.8,16.7,1.18,false,0
nodo_chancay_01,17640000,233.6,7.35,17.0,14.9,17.8,1.24,false,0
nodo_chancay_01,17700000,223.1,7.25,15.3,15.2,17.4,1.27,false,0
nodo_chancay_01,17760000,239.0,7.44,17.9,15.1,16.9,1.21,false,0
nodo_chancay_01,17820000,233.1,7.43,17.5,15.4,17.0,1.21,false,0
nodo_chancay_01,17880000,238.1,7.3,13.5,15.0,18.0,1.21,false,0
nodo_chancay_01,17940000,236.3,7.3,22.3,15.1,17.1,1.2,false,0
nodo_chancay_01,18000000,221.7,7.48,17.5,14.9,17.4,1.16,false,0
nodo_chancay_01,18060000,224.4,7.22,20.9,14.7,17.4,1.18,false,0
nodo_chancay_01,18120000,237.5,7.45,13.8,15.0,17.7,1.2,false,0
nodo_chancay_01,18180000,236.1,7.36,14.2,14.7,16.9,1.23,false,0
nodo_chancay_01,18240000,229.8,7.45,28.4,15.1,17.1,1.19,false,0
nodo_chancay_01,18300000,231.2,7.49,14.8,14.9,17.3,1.25,false,0
nodo_chancay_01,18360000,242.8,7.3,21.3,15.1,18.0,1.23,false,0
nodo_chancay_01,18420000,224.1,7.28,7.7,15.2,16.8,1.2,false,0
nodo_chancay_01,18480000,235.5,7.54,16.8,14.9,17.8,1.19,false,0
nodo_chancay_01,18540000,228.0,7.38,13.0,15.3,17.6,1.21,false,0
nodo_chancay_01,18600000,227.8,7.42,22.7,15.1,17.5,1.22,false,0
nodo_chancay_01,18660000,241.0,7.48,11.6,15.0,18.3,1.2,false,0
nodo_chancay_01,18720000,238.3,7.29,12.9,15.1,17.4,1.21,false,0
nodo_chancay_01,18780000,238.1,7.48,17.9,15.3,18.2,1.23,false,0
nodo_chancay_01,18840000,243.1,7.45,9.7,14.7,17.4,1.2,false,0
nodo_chancay_01,18900000,230.2,7.54,15.6,15.1,16.9,1.23,false,0
nodo_chancay_01,18960000,236.8,7.54,12.0,15.2,18.1,1.19,false,0
nodo_chancay_01,19020000,226.9,7.4,15.7,15.1,17.3,1.18,false,0
nodo_chancay_01,19080000,233.2,7.47,14.5,15.0,17.7,1.18,false,0
nodo_chancay_01,19140000,228.7,7.39,24.2,15.5,18.6,1.19,false,0
nodo_chancay_01,19200000,231.0,7.4,17.3,15.2,18.4,1.17,false,0
nodo_chancay_01,19260000,236.0,7.28,8.5,15.1,17.6,1.22,false,0
nodo_chancay_01,19320000,221.8,7.37,10.4,15.1,17.6,1.18,false,0
nodo_chancay_01,19380000,250.9,7.21,12.8,14.7,18.3,1.17,false,0
nodo_chancay_01,19440000,219.9,7.38,11.5,15.2,17.9,1.21,false,0
nodo_chancay_01,19500000,217.9,7.52,22.1,15.1,18.2,1.15,false,0
nodo_chancay_01,19560000,241.6,7.47,12.2,15.2,18.4,1.2,false,0
nodo_chancay_01,19620000,237.9,7.4,14.8,14.8,18.1,1.19,false,0
nodo_chancay_01,19680000,236.2,7.37,18.0,14.7,17.7,1.17,false,0
nodo_chancay_01,19740000,236.3,7.34,29.0,15.0,18.4,1.22,false,0
